Loading channels: ...working... done
tensorboard                    2.5.0            py_0  pkgs/main           
tensorboard                    2.6.0            py_0  anaconda/pkgs/main  
tensorboard                    2.6.0            py_0  pkgs/main           
tensorboard                    2.6.0            py_1  anaconda/pkgs/main  
tensorboard                    2.6.0            py_1  pkgs/main           
tensorboard                    2.8.0 py310h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.8.0 py310h06a4308_0  pkgs/main           
tensorboard                    2.8.0  py37h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.8.0  py37h06a4308_0  pkgs/main           
tensorboard                    2.8.0  py38h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.8.0  py38h06a4308_0  pkgs/main           
tensorboard                    2.8.0  py39h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.8.0  py39h06a4308_0  pkgs/main           
tensorboard                    2.9.0 py310h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.9.0 py310h06a4308_0  pkgs/main           
tensorboard                    2.9.0  py37h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.9.0  py37h06a4308_0  pkgs/main           
tensorboard                    2.9.0  py38h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.9.0  py38h06a4308_0  pkgs/main           
tensorboard                    2.9.0  py39h06a4308_0  anaconda/pkgs/main  
tensorboard                    2.9.0  py39h06a4308_0  pkgs/main           
tensorboard                   2.10.0 py310h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.10.0 py310h06a4308_0  pkgs/main           
tensorboard                   2.10.0  py37h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.10.0  py37h06a4308_0  pkgs/main           
tensorboard                   2.10.0  py38h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.10.0  py38h06a4308_0  pkgs/main           
tensorboard                   2.10.0  py39h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.10.0  py39h06a4308_0  pkgs/main           
tensorboard                   2.11.0 py310h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.11.0 py310h06a4308_0  pkgs/main           
tensorboard                   2.11.0  py38h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.11.0  py38h06a4308_0  pkgs/main           
tensorboard                   2.11.0  py39h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.11.0  py39h06a4308_0  pkgs/main           
tensorboard                   2.12.1 py310h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.12.1 py310h06a4308_0  pkgs/main           
tensorboard                   2.12.1 py311h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.12.1 py311h06a4308_0  pkgs/main           
tensorboard                   2.12.1  py38h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.12.1  py38h06a4308_0  pkgs/main           
tensorboard                   2.12.1  py39h06a4308_0  anaconda/pkgs/main  
tensorboard                   2.12.1  py39h06a4308_0  pkgs/main           
